feature,importance
store_cnt,0.0014554283839548203
sales_vol4,0.0009334681871368267
pop_float,0.0006259391262096528
hhi,0.00026442845831436344
pop_job,0.0002548311773013422
pop_float_vol4,0.00018370551341893236
pop_res_vol4,0.000143818460654762
pop_res,0.00013196065590926552
store_density_km2,8.45062936088152e-05
sales_yoy,8.087635895383596e-05
turnover_rate,0.0
pop_res_yoy,-2.4821253221392336e-05
pop_float_yoy,-4.142589810446559e-05
sales,-0.00026710928881102416
pop_job_yoy,-0.00026999654544330803
pop_job_vol4,-0.0004306151748202255
